"HIQ210.Code.or.Value","HIQ210.Value.Description","HIQ210.Count","HIQ210.Cumulative","HIQ210.Skip.to.Item"
"1","Yes",674,674,NA
"2","No",7965,8639,NA
"7","Refused",0,8639,NA
"9","Don't know",11,8650,NA
".","Missing",1321,9971,NA
