"LBXRBCSI.Code.or.Value","LBXRBCSI.Value.Description","LBXRBCSI.Count","LBXRBCSI.Cumulative","LBXRBCSI.Skip.to.Item"
"2.38 to 7.15","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
