"DR1TVB12.Code.or.Value","DR1TVB12.Value.Description","DR1TVB12.Count","DR1TVB12.Cumulative","DR1TVB12.Skip.to.Item"
"0 to 110.39","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
