"FSQ760.Code.or.Value","FSQ760.Value.Description","FSQ760.Count","FSQ760.Cumulative","FSQ760.Skip.to.Item"
"1","Yes",1534,1534,""
"2","No",294,1828,"FSQBOX6"
"7","Refused",0,1828,"FSQBOX6"
"9","Don't know",0,1828,"FSQBOX6"
".","Missing",8143,9971,""
