"SXD101.Code.or.Value","SXD101.Value.Description","SXD101.Count","SXD101.Cumulative","SXD101.Skip.to.Item"
"0 to 250","Range of Values",2237,2237,NA
"2000","2000 or more",1,2238,NA
"77777","Refused",14,2252,NA
"99999","Don't know",6,2258,NA
".","Missing",3044,5302,NA
