"TYXP211.Code.or.Value","TYXP211.Value.Description","TYXP211.Count","TYXP211.Cumulative","TYXP211.Skip.to.Item"
"-297 to -23","Range of Values",442,442,NA
".","Missing",8027,8469,NA
