"OPDUD500.Code.or.Value","OPDUD500.Value.Description","OPDUD500.Count","OPDUD500.Cumulative","OPDUD500.Skip.to.Item"
"0","No",2309,2309,NA
"1","Yes",106,2415,NA
".","Missing",519,2934,NA
