"SPXBFEV6.Code.or.Value","SPXBFEV6.Value.Description","SPXBFEV6.Count","SPXBFEV6.Cumulative","SPXBFEV6.Skip.to.Item"
"1120 to 7540","Range of Values",611,611,NA
".","Missing",7132,7743,NA
