"WTSHM13.Code.or.Value","WTSHM13.Value.Description","WTSHM13.Count","WTSHM13.Cumulative","WTSHM13.Skip.to.Item"
"0.0000000 to 751784.5195900","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
