"DR2INIAC.Code.or.Value","DR2INIAC.Value.Description","DR2INIAC.Count","DR2INIAC.Cumulative","DR2INIAC.Skip.to.Item"
"0 to 97.13","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
