"BAXFTC21.Code.or.Value","BAXFTC21.Value.Description","BAXFTC21.Count","BAXFTC21.Cumulative","BAXFTC21.Skip.to.Item"
"2 to 14","Range of Values",32,32,NA
".","Missing",979,1011,NA
