"CBD090.Code.or.Value","CBD090.Value.Description","CBD090.Count","CBD090.Cumulative","CBD090.Skip.to.Item"
"0 to 1071","Range of Values",9505,9505,NA
"777777","Refused",15,9520,NA
"999999","Don't know",182,9702,NA
".","Missing",54,9756,NA
