"SSCMIGGA.Code.or.Value","SSCMIGGA.Value.Description","SSCMIGGA.Count","SSCMIGGA.Cumulative","SSCMIGGA.Skip.to.Item"
"1","Low",10,10,NA
"2","High",161,171,NA
"3","Indeterminate",3,174,NA
"4","Not evaluated",2569,2743,NA
".","Missing",2501,5244,NA
