"DS2IPFAT.Code.or.Value","DS2IPFAT.Value.Description","DS2IPFAT.Count","DS2IPFAT.Cumulative","DS2IPFAT.Skip.to.Item"
"0.06 to 20","Range of Values",274,274,NA
".","Missing",5629,5903,NA
