"DMDBORN4.Code.or.Value","DMDBORN4.Value.Description","DMDBORN4.Count","DMDBORN4.Cumulative","DMDBORN4.Skip.to.Item"
"1","Born in 50 US states or Washington, DC",7733,7733,NA
"2","Others",2236,9969,NA
"77","Refused",0,9969,NA
"99","Don't Know",2,9971,NA
".","Missing",0,9971,NA
