"OPXDF1.Code.or.Value","OPXDF1.Value.Description","OPXDF1.Count","OPXDF1.Cumulative","OPXDF1.Skip.to.Item"
"0","Absent",100,100,NA
"2","Present",2404,2504,NA
".","Missing",430,2934,NA
