"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 1973","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
