"LBC066LA.Code.or.Value","LBC066LA.Value.Description","LBC066LA.Count","LBC066LA.Cumulative","LBC066LA.Skip.to.Item"
"0.1273 to 8.939","Range of Values",284,284,NA
".","Missing",0,284,NA
