"BAQ020A.Code.or.Value","BAQ020A.Value.Description","BAQ020A.Count","BAQ020A.Cumulative","BAQ020A.Skip.to.Item"
"1","Yes",655,655,"BAQ030a"
"2","No",264,919,""
"7","Refused",0,919,""
"9","Don't know",3,922,""
".","Missing",2564,3486,""
