"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.07 to 34.11","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
