"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"1.6 to 18","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
