"WBXP047.Code.or.Value","WBXP047.Value.Description","WBXP047.Count","WBXP047.Cumulative","WBXP047.Skip.to.Item"
"-124.9254 to 168.0051","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
