"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 24455","Range of Values",14464,14464,NA
"77777","Refused",0,14464,NA
"99999","Don't know",231,14695,NA
".","Missing",5821,20516,NA
