"WBXP002.Code.or.Value","WBXP002.Value.Description","WBXP002.Count","WBXP002.Cumulative","WBXP002.Skip.to.Item"
"-153.0872 to 145.5096","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
