"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1175,1175,NA
"1","Below lower detection limit",1479,2654,NA
".","Missing",101,2755,NA
