"DXXL2BMD.Code.or.Value","DXXL2BMD.Value.Description","DXXL2BMD.Count","DXXL2BMD.Cumulative","DXXL2BMD.Skip.to.Item"
"0.461 to 1.796","Range of Values",1980,1980,NA
".","Missing",918,2898,NA
