"DXXTRBMD.Code.or.Value","DXXTRBMD.Value.Description","DXXTRBMD.Count","DXXTRBMD.Cumulative","DXXTRBMD.Skip.to.Item"
"0.291 to 1.216","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
