"FFQ0122D.Code.or.Value","FFQ0122D.Value.Description","FFQ0122D.Count","FFQ0122D.Cumulative","FFQ0122D.Skip.to.Item"
1,"Almost never or never",3380,3380,NA
2,"About 1/4 of the time",1623,5003,NA
3,"About 1/2 of the time",484,5487,NA
4,"About 3/4 of the time",180,5667,NA
5,"Almost always or always",173,5840,NA
88,"Blank",629,6469,NA
99,"Error",3,6472,NA
