"HEQ020.Code.or.Value","HEQ020.Value.Description","HEQ020.Count","HEQ020.Cumulative","HEQ020.Skip.to.Item"
"1","Yes",24,24,NA
"2","No",53,77,NA
"7","Refused",0,77,NA
"9","Don't know",15,92,NA
".","Missing",8275,8367,NA
