"MCQ160n.Code.or.Value","MCQ160n.Value.Description","MCQ160n.Count","MCQ160n.Cumulative","MCQ160n.Skip.to.Item"
"1","Yes",234,234,NA
"2","No",5531,5765,NA
"7","Refused",0,5765,NA
"9","Don't know",4,5769,NA
".","Missing",4001,9770,NA
