"PAQ706.Code.or.Value","PAQ706.Value.Description","PAQ706.Count","PAQ706.Cumulative","PAQ706.Skip.to.Item"
"0 to 7","Range of Values",2299,2299,NA
"77","Refused",0,2299,NA
"99","Don't know",1,2300,NA
".","Missing",6807,9107,NA
