"OPDSIRMA.Code.or.Value","OPDSIRMA.Value.Description","OPDSIRMA.Count","OPDSIRMA.Cumulative","OPDSIRMA.Skip.to.Item"
"0","None",2363,2363,NA
"1","Questionable",25,2388,NA
"2","< 8A",15,2403,NA
"3",">= 8A",4,2407,NA
".","Missing",527,2934,NA
