"HUQ050.Code.or.Value","HUQ050.Value.Description","HUQ050.Count","HUQ050.Cumulative","HUQ050.Skip.to.Item"
"0","None",1449,1449,""
"1","1",1957,3406,"HUQ071"
"2","2 to 3",2946,6352,"HUQ071"
"3","4 to 9",2638,8990,"HUQ071"
"4","10 to 12",604,9594,"HUQ071"
"5","13 or more",546,10140,"HUQ071"
"77","Refused",1,10141,"HUQ071"
"99","Don't know",8,10149,"HUQ071"
".","Missing",0,10149,""
