"DR2TVARA.Code.or.Value","DR2TVARA.Value.Description","DR2TVARA.Count","DR2TVARA.Cumulative","DR2TVARA.Skip.to.Item"
"0 to 19854","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
