"OHQ490b.Code.or.Value","OHQ490b.Value.Description","OHQ490b.Count","OHQ490b.Cumulative","OHQ490b.Skip.to.Item"
"1","Checked",263,263,NA
"77","Refused",0,263,NA
"99","Don't know",8,271,NA
".","Missing",8576,8847,NA
