"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",128,128,""
"2","No",4754,4882,"DRD370L"
".","Missing",4662,9544,""
