"OPDDNOT.Code.or.Value","OPDDNOT.Value.Description","OPDDNOT.Count","OPDDNOT.Cumulative","OPDDNOT.Skip.to.Item"
"0","None",277,277,NA
"1","Inferior",9,286,NA
"2","Superior",6,292,NA
"3","Both",4,296,NA
"4","Ungradable",6,302,NA
".","Missing",2632,2934,NA
