"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",341,341,""
"2","No",5596,5937,"HSQ590"
"7","Refused",0,5937,"HSQ590"
"9","Don't know",3,5940,"HSQ590"
".","Missing",3895,9835,""
