"MCQ260GI.Code.or.Value","MCQ260GI.Value.Description","MCQ260GI.Count","MCQ260GI.Cumulative","MCQ260GI.Skip.to.Item"
"9","Other",114,114,NA
".","Missing",9531,9645,NA
