"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",7687,7687,NA
"1","Below lower detection limit",10,7697,NA
".","Missing",389,8086,NA
