"URDNALLC.Code.or.Value","URDNALLC.Value.Description","URDNALLC.Count","URDNALLC.Cumulative","URDNALLC.Skip.to.Item"
"0","At or above detection limit",5012,5012,NA
"1","Below lower detection limit",2902,7914,NA
".","Missing",377,8291,NA
