"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"16.8 to 74.5","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
