"DS2IVB2.Code.or.Value","DS2IVB2.Value.Description","DS2IVB2.Count","DS2IVB2.Cumulative","DS2IVB2.Skip.to.Item"
"0.003 to 400","Range of Values",1143,1143,NA
".","Missing",4455,5598,NA
