"URXBDCP.Code.or.Value","URXBDCP.Value.Description","URXBDCP.Count","URXBDCP.Cumulative","URXBDCP.Skip.to.Item"
"0.0707 to 260","Range of Values",2800,2800,NA
".","Missing",186,2986,NA
