"CVQ220h.Code.or.Value","CVQ220h.Value.Description","CVQ220h.Count","CVQ220h.Cumulative","CVQ220h.Skip.to.Item"
"1","Yes",56,56,NA
"2","No",397,453,NA
".","Missing",4699,5152,NA
