"LB2RBFSI.Code.or.Value","LB2RBFSI.Value.Description","LB2RBFSI.Count","LB2RBFSI.Cumulative","LB2RBFSI.Skip.to.Item"
"194.8 to 3193.7","Range of Values",547,547,NA
".","Missing",4,551,NA
