"DXDTRBMD.Code.or.Value","DXDTRBMD.Value.Description","DXDTRBMD.Count","DXDTRBMD.Cumulative","DXDTRBMD.Skip.to.Item"
"0.46 to 1.796","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
