"DRXIP226.Code.or.Value","DRXIP226.Value.Description","DRXIP226.Count","DRXIP226.Cumulative","DRXIP226.Skip.to.Item"
"0 to 3.16","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
