"VIXKRM1.Code.or.Value","VIXKRM1.Value.Description","VIXKRM1.Count","VIXKRM1.Cumulative","VIXKRM1.Skip.to.Item"
"6.74 to 9.77","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
