"WTSAU2YR.Code.or.Value","WTSAU2YR.Value.Description","WTSAU2YR.Count","WTSAU2YR.Cumulative","WTSAU2YR.Skip.to.Item"
"0 to 323087.55894","Range of Values",1889,1889,NA
".","Missing",0,1889,NA
