"DS1TSODI.Code.or.Value","DS1TSODI.Value.Description","DS1TSODI.Count","DS1TSODI.Cumulative","DS1TSODI.Skip.to.Item"
"1.1 to 230","Range of Values",456,456,NA
".","Missing",9797,10253,NA
