"OSQ140q.Code.or.Value","OSQ140q.Value.Description","OSQ140q.Count","OSQ140q.Cumulative","OSQ140q.Skip.to.Item"
"1 to 54","Range of Values",237,237,NA
"777","Refused",0,237,NA
"999","Don't know",8,245,NA
".","Missing",4734,4979,NA
