"SPXBFEV3.Code.or.Value","SPXBFEV3.Value.Description","SPXBFEV3.Count","SPXBFEV3.Cumulative","SPXBFEV3.Skip.to.Item"
"1029 to 6884","Range of Values",496,496,NA
".","Missing",7699,8195,NA
