"DXXOSBMD.Code.or.Value","DXXOSBMD.Value.Description","DXXOSBMD.Count","DXXOSBMD.Cumulative","DXXOSBMD.Skip.to.Item"
"0.454 to 1.796","Range of Values",1274,1274,NA
".","Missing",1624,2898,NA
