"DXDRAPF.Code.or.Value","DXDRAPF.Value.Description","DXDRAPF.Count","DXDRAPF.Cumulative","DXDRAPF.Skip.to.Item"
"10.2 to 67.2","Range of Values",4961,4961,NA
".","Missing",819,5780,NA
