"MCQ160F.Code.or.Value","MCQ160F.Value.Description","MCQ160F.Count","MCQ160F.Cumulative","MCQ160F.Skip.to.Item"
"1","Yes",227,227,""
"2","No",5983,6210,"MCQ160G"
"7","Refused",0,6210,"MCQ160G"
"9","Don't know",8,6218,"MCQ160G"
".","Missing",3891,10109,""
