"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 3.499","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
