"HSQ496.Code.or.Value","HSQ496.Value.Description","HSQ496.Count","HSQ496.Cumulative","HSQ496.Skip.to.Item"
"0 to 30","Range of Values",6325,6325,NA
"77","Refused",0,6325,NA
"99","Don't know",21,6346,NA
".","Missing",2961,9307,NA
