"RFXT109.Code.or.Value","RFXT109.Value.Description","RFXT109.Count","RFXT109.Cumulative","RFXT109.Skip.to.Item"
"946 to 955","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
