"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",329,329,""
"2","No",2722,3051,"RDQ070"
"7","Refused",0,3051,"RDQ070"
"9","Don't know",4,3055,"RDQ070"
".","Missing",6767,9822,""
