"WBXA066.Code.or.Value","WBXA066.Value.Description","WBXA066.Count","WBXA066.Cumulative","WBXA066.Skip.to.Item"
"-0.4751 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
