"BPQ057.Code.or.Value","BPQ057.Value.Description","BPQ057.Count","BPQ057.Cumulative","BPQ057.Skip.to.Item"
"1","Yes",484,484,NA
"2","No",5669,6153,NA
"7","Refused",0,6153,NA
"9","Don't know",56,6209,NA
".","Missing",337,6546,NA
