"LBC149LA.Code.or.Value","LBC149LA.Value.Description","LBC149LA.Count","LBC149LA.Cumulative","LBC149LA.Skip.to.Item"
"0.1 to 2.1","Range of Values",264,264,NA
".","Missing",0,264,NA
