"MCQ240U.Code.or.Value","MCQ240U.Value.Description","MCQ240U.Count","MCQ240U.Cumulative","MCQ240U.Skip.to.Item"
"2 to 84","Range of Values",73,73,NA
"85","85 years or older",3,76,NA
"77777","Refused",0,76,NA
"99999","Don't know",0,76,NA
".","Missing",9417,9493,NA
